iter	Passed	Remaining
0	114	114311
1	127	63449
2	137	45849
3	149	37348
4	161	32042
5	171	28382
6	181	25774
7	190	23663
8	200	22091
9	209	20754
10	218	19689
11	228	18773
12	236	17957
13	244	17241
14	253	16647
15	262	16133
16	270	15665
17	279	15223
18	287	14860
19	297	14571
20	306	14294
21	315	14020
22	324	13767
23	332	13539
24	342	13341
25	351	13157
26	360	12993
27	369	12838
28	378	12686
29	387	12538
30	396	12391
31	405	12261
32	415	12172
33	424	12061
34	433	11960
35	443	11865
36	453	11794
37	462	11713
38	475	11722
39	487	11689
40	497	11640
41	508	11601
42	519	11551
43	529	11499
44	539	11441
45	550	11420
46	560	11373
47	569	11295
48	577	11209
49	585	11127
50	593	11041
51	613	11189
52	628	11233
53	643	11280
54	653	11236
55	661	11158
56	670	11096
57	683	11097
58	694	11079
59	703	11013
60	711	10947
61	721	10913
62	730	10859
63	739	10809
64	748	10770
65	758	10730
66	768	10703
67	778	10668
68	787	10619
69	798	10603
70	807	10568
71	817	10533
72	828	10523
73	838	10488
74	845	10433
75	854	10392
76	863	10355
77	876	10361
78	885	10325
79	894	10281
80	901	10227
81	908	10169
82	915	10110
83	922	10060
84	929	10010
85	937	9959
86	943	9906
87	950	9855
88	958	9807
89	965	9759
90	972	9712
91	979	9665
92	986	9618
93	993	9575
94	1000	9535
95	1008	9497
96	1016	9458
97	1023	9423
98	1031	9390
99	1039	9352
100	1047	9325
101	1055	9290
102	1062	9251
103	1069	9213
104	1076	9179
105	1084	9146
106	1091	9109
107	1098	9072
108	1104	9032
109	1112	8997
110	1118	8960
111	1125	8923
112	1132	8891
113	1139	8859
114	1147	8826
115	1154	8798
116	1163	8777
117	1173	8768
118	1181	8748
119	1190	8733
120	1200	8721
121	1209	8707
122	1219	8693
123	1228	8678
124	1236	8655
125	1244	8633
126	1252	8609
127	1260	8587
128	1267	8561
129	1276	8541
130	1283	8516
131	1291	8491
132	1298	8467
133	1306	8444
134	1314	8423
135	1323	8409
136	1332	8394
137	1340	8374
138	1348	8355
139	1356	8335
140	1365	8316
141	1372	8293
142	1380	8272
143	1387	8247
144	1394	8224
145	1402	8203
146	1410	8185
147	1419	8169
148	1428	8158
149	1437	8147
150	1446	8133
151	1456	8124
152	1465	8114
153	1475	8104
154	1483	8087
155	1492	8072
156	1500	8057
157	1508	8040
158	1516	8020
159	1524	8002
160	1532	7984
161	1540	7967
162	1548	7951
163	1556	7935
164	1564	7918
165	1572	7900
166	1580	7883
167	1587	7864
168	1595	7845
169	1602	7825
170	1609	7803
171	1616	7782
172	1624	7763
173	1630	7742
174	1637	7721
175	1645	7701
176	1651	7680
177	1658	7660
178	1665	7640
179	1672	7618
180	1679	7598
181	1686	7578
182	1693	7559
183	1700	7539
184	1706	7518
185	1713	7499
186	1721	7485
187	1729	7471
188	1738	7458
189	1745	7439
190	1753	7426
191	1762	7416
192	1770	7401
193	1778	7389
194	1787	7380
195	1798	7375
196	1806	7365
197	1817	7361
198	1824	7344
199	1833	7333
200	1842	7323
201	1849	7307
202	1857	7290
203	1864	7276
204	1872	7261
205	1879	7245
206	1886	7228
207	1894	7212
208	1900	7194
209	1907	7176
210	1915	7161
211	1922	7144
212	1928	7126
213	1935	7108
214	1942	7092
215	1949	7074
216	1956	7058
217	1962	7040
218	1969	7022
219	1975	7005
220	1982	6988
221	1989	6971
222	1995	6952
223	2001	6933
224	2007	6915
225	2014	6898
226	2020	6880
227	2026	6862
228	2032	6844
229	2040	6830
230	2046	6814
231	2053	6796
232	2058	6777
233	2066	6764
234	2073	6751
235	2081	6737
236	2089	6726
237	2097	6716
238	2105	6703
239	2113	6692
240	2121	6682
241	2130	6671
242	2138	6661
243	2146	6652
244	2157	6647
245	2167	6641
246	2176	6636
247	2186	6630
248	2196	6625
249	2206	6620
250	2216	6614
251	2226	6607
252	2235	6600
253	2245	6594
254	2254	6585
255	2262	6576
256	2272	6571
257	2282	6565
258	2292	6558
259	2302	6553
260	2312	6546
261	2320	6537
262	2328	6525
263	2338	6520
264	2346	6508
265	2357	6504
266	2365	6495
267	2375	6486
268	2383	6477
269	2393	6470
270	2402	6463
271	2413	6459
272	2421	6449
273	2432	6444
274	2441	6437
275	2451	6430
276	2460	6422
277	2470	6416
278	2480	6410
279	2490	6404
280	2500	6399
281	2512	6396
282	2521	6389
283	2530	6380
284	2540	6372
285	2549	6364
286	2559	6357
287	2568	6349
288	2579	6345
289	2590	6341
290	2600	6334
291	2609	6326
292	2618	6318
293	2627	6309
294	2636	6299
295	2643	6288
296	2650	6274
297	2657	6260
298	2664	6245
299	2670	6231
300	2677	6217
301	2684	6204
302	2690	6189
303	2697	6175
304	2704	6161
305	2711	6150
306	2719	6139
307	2727	6128
308	2735	6116
309	2742	6104
310	2750	6093
311	2756	6078
312	2762	6063
313	2769	6050
314	2775	6036
315	2782	6022
316	2788	6007
317	2795	5994
318	2801	5980
319	2807	5966
